movie_id,title,genre,keywords,cast,director,description
1,Avatar,Action Adventure Fantasy,alien planet space survival,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron,A marine joins an alien world and fights to protect its people.
2,Titanic,Drama Romance,love ship ocean tragedy,Leonardo DiCaprio Kate Winslet Billy Zane,James Cameron,A young couple falls in love aboard a famous ocean liner.
3,The Avengers,Action Adventure Sci-Fi,superhero marvel team alien,Robert Downey Jr Chris Evans Scarlett Johansson,Joss Whedon,Superheroes join forces to protect Earth from a powerful enemy.
4,Iron Man,Action Adventure Sci-Fi,superhero technology armor marvel,Robert Downey Jr Gwyneth Paltrow Jeff Bridges,Jon Favreau,A genius inventor creates a powerful armored suit.
5,Interstellar,Sci-Fi Drama Adventure,space astronaut planet time,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan,Astronauts travel through space searching for a new home for humanity.
6,Inception,Action Sci-Fi Thriller,dream heist mind technology,Leonardo DiCaprio Joseph Gordon Levitt Tom Hardy,Christopher Nolan,A skilled thief enters dreams to steal valuable information.
7,The Dark Knight,Action Crime Drama,batman joker superhero crime,Christian Bale Heath Ledger Gary Oldman,Christopher Nolan,Batman faces a dangerous criminal who creates chaos in Gotham.
8,Spider-Man: Homecoming,Action Adventure Sci-Fi,spider superhero school marvel,Tom Holland Michael Keaton Zendaya,Jon Watts,A young superhero balances school life with fighting criminals.
9,Jurassic Park,Adventure Sci-Fi Thriller,dinosaurs island science survival,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg,Scientists create a dinosaur park that becomes dangerously uncontrollable.
10,The Matrix,Action Sci-Fi Thriller,computer virtual reality hacker,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,The Wachowskis,A computer hacker discovers that reality is a sophisticated simulation.
11,Guardians of the Galaxy,Action Adventure Sci-Fi Comedy,space superhero marvel team,Chris Pratt Zoe Saldana Dave Bautista,James Gunn,A group of unusual heroes protects the galaxy from a powerful threat.
12,Doctor Strange,Action Adventure Fantasy,magic superhero marvel multiverse,Benedict Cumberbatch Rachel McAdams Chiwetel Ejiofor,Scott Derrickson,A surgeon learns mystical powers and protects reality from magical threats.
13,Black Panther,Action Adventure Sci-Fi,superhero wakanda africa marvel,Chadwick Boseman Michael B Jordan Lupita Nyong'o,Ryan Coogler,A new king protects Wakanda from an ambitious rival.
14,Thor,Action Adventure Fantasy,god superhero hammer marvel,Chris Hemsworth Natalie Portman Tom Hiddleston,Kenneth Branagh,A powerful god learns responsibility after being sent to Earth.
15,Captain America: The First Avenger,Action Adventure Sci-Fi,superhero soldier war marvel,Chris Evans Hayley Atwell Hugo Weaving,Joe Johnston,A determined soldier becomes a super-powered hero during World War II.
16,Avengers: Infinity War,Action Adventure Sci-Fi,superhero infinity stone marvel thanos,Robert Downey Jr Chris Hemsworth Josh Brolin,Anthony Russo Joe Russo,Heroes across the universe unite against a powerful enemy seeking the Infinity Stones.
17,Avengers: Endgame,Action Adventure Sci-Fi,superhero time travel marvel thanos,Robert Downey Jr Chris Evans Mark Ruffalo,Anthony Russo Joe Russo,The surviving heroes attempt to reverse a devastating event.
