movie_id,title,genre,keywords,cast,director,description,industry
1,Avatar,Action Adventure Fantasy,alien planet space survival,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron,A marine joins an alien world and fights to protect its people.,Hollywood
2,Titanic,Drama Romance,love ship ocean tragedy,Leonardo DiCaprio | Kate Winslet Billy Zane,James Cameron,A young couple falls in love aboard a famous ocean liner.,Hollywood
3,The Avengers,Action Adventure Sci-Fi,superhero marvel team alien,Robert Downey Jr | Chris Evans | Scarlett Johansson,Joss Whedon,Superheroes join forces to protect Earth from a powerful enemy.,Marvel
4,Iron Man,Action Adventure Sci-Fi,superhero technology armor marvel,Robert Downey Jr | Gwyneth Paltrow Jeff Bridges,Jon Favreau,A genius inventor creates a powerful armored suit.,Marvel
5,Interstellar,Sci-Fi Drama Adventure,space astronaut planet time,Matthew McConaughey | Anne Hathaway | Jessica Chastain,Christopher Nolan,Astronauts travel through space searching for a new home for humanity.,Hollywood
6,Inception,Action Sci-Fi Thriller,dream heist mind technology,Leonardo DiCaprio | Joseph Gordon Levitt Tom Hardy,Christopher Nolan,A skilled thief enters dreams to steal valuable information.,Hollywood
7,The Dark Knight,Action Crime Drama,batman joker superhero crime,Christian Bale | Heath Ledger Gary Oldman,Christopher Nolan,Batman faces a dangerous criminal who creates chaos in Gotham.,Hollywood
8,Spider-Man: Homecoming,Action Adventure Sci-Fi,spider superhero school marvel,Tom Holland Michael Keaton Zendaya,Jon Watts,A young superhero balances school life with fighting criminals.,Marvel
9,Jurassic Park,Adventure Sci-Fi Thriller,dinosaurs island science survival,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg,Scientists create a dinosaur park that becomes dangerously uncontrollable.,Hollywood
10,The Matrix,Action Sci-Fi Thriller,computer virtual reality hacker,Keanu Reeves | Laurence Fishburne Carrie-Anne Moss,The Wachowskis,A computer hacker discovers that reality is a sophisticated simulation.,Hollywood
11,Guardians of the Galaxy,Action Adventure Sci-Fi Comedy,space superhero marvel team,Chris Pratt Zoe Saldana Dave Bautista,James Gunn,A group of unusual heroes protects the galaxy from a powerful threat.,Marvel
12,Doctor Strange,Action Adventure Fantasy,magic superhero marvel multiverse,Benedict Cumberbatch Rachel McAdams Chiwetel Ejiofor,Scott Derrickson,A surgeon learns mystical powers and protects reality from magical threats.,Marvel
13,Black Panther,Action Adventure Sci-Fi,superhero wakanda africa marvel,Chadwick Boseman Michael B Jordan Lupita Nyong'o,Ryan Coogler,A new king protects Wakanda from an ambitious rival.,Marvel
14,Thor,Action Adventure Fantasy,god superhero hammer marvel,Chris Hemsworth | Natalie Portman | Tom Hiddleston,Kenneth Branagh,A powerful god learns responsibility after being sent to Earth.,Marvel
15,Captain America: The First Avenger,Action Adventure Sci-Fi,superhero soldier war marvel,Chris Evans | Hayley Atwell Hugo Weaving,Joe Johnston,A determined soldier becomes a super-powered hero during World War II.,Marvel
16,Avengers: Infinity War,Action Adventure Sci-Fi,superhero infinity stone marvel thanos,Robert Downey Jr | Chris Hemsworth | Josh Brolin,Anthony Russo Joe Russo,Heroes across the universe unite against a powerful enemy seeking the Infinity Stones.,Marvel
17,Avengers: Endgame,Action Adventure Sci-Fi,superhero time travel marvel thanos,Robert Downey Jr | Chris Evans | Mark Ruffalo,Anthony Russo Joe Russo,The surviving heroes attempt to reverse a devastating event.,Marvel
18,Captain Marvel,Action Adventure Sci-Fi,superhero space marvel alien,Brie Larson | Samuel L Jackson | Jude Law,Anna Boden Ryan Fleck,A powerful pilot discovers her identity and protects Earth from an alien conflict.,Hollywood
19,Ant-Man,Action Adventure Sci-Fi Comedy,superhero shrinking technology marvel,Paul Rudd Michael Douglas Evangeline Lilly,Peyton Reed,A thief becomes a tiny superhero using advanced technology.,Marvel
20,Shang-Chi and the Legend of the Ten Rings,Action Adventure Fantasy,martial arts superhero rings marvel,Simu Liu Tony Leung Awkwafina,Destin Daniel Cretton,A martial artist confronts his family history and a powerful organization.,Hollywood
21,Man of Steel,Action Adventure Sci-Fi,superhero krypton alien superman,Henry Cavill Amy Adams Michael Shannon,Zack Snyder,An alien-born hero protects Earth while discovering his origins.,DC
22,Wonder Woman,Action Adventure Fantasy,superhero amazon war mythology,Gal Gadot Chris Pine Robin Wright,Patty Jenkins,An Amazon warrior enters a world war to stop a dangerous enemy.,DC
23,Aquaman,Action Adventure Fantasy,superhero ocean underwater atlantis,Jason Momoa Amber Heard Willem Dafoe,James Wan,A hero must claim his place as ruler of an underwater kingdom.,DC
24,The Batman,Action Crime Drama,batman detective gotham mystery,Robert Pattinson Zoe Kravitz Paul Dano,Matt Reeves,A young Batman investigates a mystery involving a dangerous criminal.,DC
25,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Drama,magic ring middle earth quest,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,A young hobbit begins a dangerous quest to destroy a powerful ring.,Hollywood
26,The Lord of the Rings: The Two Towers,Adventure Fantasy Drama,magic ring war middle earth,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,Heroes defend Middle-earth while the quest to destroy the ring continues.,Hollywood
27,The Lord of the Rings: The Return of the King,Adventure Fantasy Drama,magic ring war middle earth,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,The final battle for Middle-earth begins as the ring approaches its destiny.,Hollywood
28,Harry Potter and the Sorcerer's Stone,Adventure Fantasy Family,magic wizard school friendship,Daniel Radcliffe Emma Watson Rupert Grint,Chris Columbus,A young wizard begins his education at a magical school.,Hollywood
29,Harry Potter and the Chamber of Secrets,Adventure Fantasy Mystery,magic wizard school monster,Daniel Radcliffe Emma Watson Rupert Grint,Chris Columbus,A mysterious threat appears inside a school for young wizards.,Hollywood
30,Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Mystery,magic wizard prison mystery,Daniel Radcliffe Emma Watson Gary Oldman,Alfonso Cuaron,A young wizard learns about a dangerous prisoner connected to his past.,Hollywood
31,Harry Potter and the Goblet of Fire,Adventure Fantasy Mystery,magic wizard tournament dragon,Daniel Radcliffe Emma Watson Robert Pattinson,Mike Newell,A magical tournament places a young wizard in unexpected danger.,Hollywood
32,Harry Potter and the Order of the Phoenix,Adventure Fantasy Drama,magic wizard rebellion school,Daniel Radcliffe Emma Watson Ralph Fiennes,David Yates,Young wizards organize resistance against a growing magical threat.,Hollywood
33,Harry Potter and the Half-Blood Prince,Adventure Fantasy Mystery,magic wizard school dark magic,Daniel Radcliffe Emma Watson Alan Rickman,David Yates,A young wizard discovers clues about a powerful dark enemy.,Hollywood
34,Harry Potter and the Deathly Hallows Part 1,Adventure Fantasy Drama,magic wizard quest horcrux,Daniel Radcliffe Emma Watson Rupert Grint,David Yates,Three young wizards leave school to search for magical objects.,Hollywood
35,Harry Potter and the Deathly Hallows Part 2,Adventure Fantasy Action,magic wizard battle hogwarts,Daniel Radcliffe Emma Watson Rupert Grint,David Yates,The final battle between young wizards and dark forces reaches Hogwarts.,Hollywood
36,Star Wars: A New Hope,Action Adventure Sci-Fi,space jedi rebellion empire,Mark Hamill Harrison Ford Carrie Fisher,George Lucas,A young hero joins a rebellion against a powerful space empire.,Bollywood
37,Star Wars: The Empire Strikes Back,Action Adventure Sci-Fi,space jedi empire rebellion,Mark Hamill Harrison Ford Carrie Fisher,Irvin Kershner,Heroes face major challenges as the space empire strikes back.,Bollywood
38,Star Wars: Return of the Jedi,Action Adventure Sci-Fi,space jedi empire rebellion,Mark Hamill Harrison Ford Carrie Fisher,Richard Marquand,The rebellion attempts to defeat the empire and restore freedom.,Bollywood
39,Rogue One: A Star Wars Story,Action Adventure Sci-Fi,space rebellion mission empire,Felicity Jones Diego Luna Ben Mendelsohn,Gareth Edwards,A group of rebels undertakes a dangerous mission against an empire.,Bollywood
40,Dune,Sci-Fi Adventure Drama,desert space politics prophecy,Timothee Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,A young noble enters a dangerous desert world filled with political conflict.,Hollywood
41,Dune: Part Two,Sci-Fi Adventure Drama,desert war prophecy space,Timothee Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,A young leader joins desert warriors and prepares for a major conflict.,Hollywood
