movie_id,title,genre,keywords,cast,director,description,rating,popularity
1,Avatar,Action Adventure Fantasy,alien planet space survival,Sam Worthington|Zoe Saldana|Sigourney Weaver,James Cameron,A marine joins an alien world and fights to protect its people.,7.8,7630
2,Titanic,Drama Romance,love ship ocean tragedy,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron,A young couple falls in love aboard a famous ocean liner.,7.92,7869
3,The Avengers,Action Adventure Sci-Fi,superhero marvel team alien,Robert Downey Jr|Chris Evans|Scarlett Johansson,Joss Whedon,Superheroes join forces to protect Earth from a powerful enemy.,8.04,8107
4,Iron Man,Action Adventure Sci-Fi,superhero technology armor marvel,Robert Downey Jr|Gwyneth Paltrow|Jeff Bridges,Jon Favreau,A genius inventor creates a powerful armored suit.,7.91,8134
5,Interstellar,Sci-Fi Drama Adventure,space astronaut planet time,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan,Astronauts travel through space searching for a new home for humanity.,8.73,8968
6,Inception,Action Sci-Fi Thriller,dream heist mind technology,Leonardo DiCaprio|Joseph Gordon-Levitt|Tom Hardy,Christopher Nolan,A skilled thief enters dreams to steal valuable information.,8.8,9165
7,The Dark Knight,Action Crime Drama,batman joker superhero crime,Christian Bale|Heath Ledger|Gary Oldman,Christopher Nolan,Batman faces a dangerous criminal who creates chaos in Gotham.,9.02,9489
8,Jurassic Park,Adventure Sci-Fi Thriller,dinosaurs island science survival,Sam Neill|Laura Dern|Jeff Goldblum,Steven Spielberg,Scientists create a dinosaur park that becomes dangerously uncontrollable.,8.24,8963
9,The Matrix,Action Sci-Fi Thriller,computer virtual reality hacker,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,The Wachowskis,A computer hacker discovers that reality is a sophisticated simulation.,8.71,9499
10,Guardians of the Galaxy,Action Adventure Sci-Fi Comedy,space superhero marvel team,Chris Pratt|Zoe Saldana|Dave Bautista,James Gunn,A group of unusual heroes protects the galaxy from a powerful threat.,8.03,9058
11,Doctor Strange,Action Adventure Fantasy,magic superhero marvel multiverse,Benedict Cumberbatch|Rachel McAdams|Chiwetel Ejiofor,Scott Derrickson,A surgeon learns mystical powers and protects reality from magical threats.,7.5,8745
12,Black Panther,Action Adventure Sci-Fi,superhero wakanda africa marvel,Chadwick Boseman|Michael B Jordan|Lupita Nyongo,Ryan Coogler,A new king protects Wakanda from an ambitious rival.,7.32,8729
13,The Lord of the Rings,Adventure Fantasy Drama,magic ring middle earth quest,Elijah Wood|Ian McKellen|Viggo Mortensen,Peter Jackson,A young hobbit begins a dangerous quest to destroy a powerful ring.,8.84,10158
14,Harry Potter,Adventure Fantasy Family,magic wizard school friendship,Daniel Radcliffe|Emma Watson|Rupert Grint,Chris Columbus,A young wizard begins his education at a magical school.,7.61,9249
15,Star Wars,Action Adventure Sci-Fi,space jedi rebellion empire,Mark Hamill|Harrison Ford|Carrie Fisher,George Lucas,A young hero joins a rebellion against a powerful space empire.,8.63,10253
16,Dune,Sci-Fi Adventure Drama,desert space politics prophecy,Timothee Chalamet|Zendaya|Rebecca Ferguson,Denis Villeneuve,A young noble enters a dangerous desert world filled with political conflict.,8.0,9855
17,The Martian,Sci-Fi Adventure Drama,mars astronaut survival space,Matt Damon|Jessica Chastain|Jeff Daniels,Ridley Scott,An astronaut stranded on Mars uses science and determination to survive.,8.02,10009
18,Gravity,Sci-Fi Thriller Drama,space astronaut survival,Sandra Bullock|George Clooney|Ed Harris,Alfonso Cuaron,Astronauts struggle to survive after an accident in orbit.,7.74,9908
19,Top Gun Maverick,Action Drama,fighter pilot aviation military,Tom Cruise|Miles Teller|Jennifer Connelly,Joseph Kosinski,An experienced pilot trains a new generation for a dangerous mission.,8.21,10444
